"MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustSpeed","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","RainTodayNo","RainTodayYes","RISK_MM","Location"
13.4,22.9,0.6,7.4,10.1,44,20,24,71,22,1007.7,1007.1,8,5,16.9,1,0,0,"Albury"
13.2,27.2,0,7.4,13,44,6,19,50,24,1013.9,1010.1,3,4,21.8,1,0,0,"Newcastle"
15.2,32.6,0,7.6,10.9,59,13,22,35,23,1009.1,1007.1,3,4,24.4,1,0,0,"Penrith"
17.6,31.3,0,7.6,10.9,44,2,24,29,21,1009.1,1004.6,3,7,24.9,1,0,0,"Sydney"
9.5,17.9,0.4,6.8,10.1,52,20,24,52,44,1007.9,1003.3,5,5,14,0,1,0,"Wollongong"
13.6,25.2,0,9.6,13,80,26,43,31,28,1006.3,1004.4,1,6,19.9,1,0,0,"Canberra"
13.1,24.2,0,7.4,10.1,61,22,33,36,34,1005.6,1003.6,5,6,19.6,1,0,0,"Tuggeranong"
5.2,13,0.4,7.4,9.6,44,17,22,46,34,1007.9,1007.1,3,6,17.1,1,0,0.4,"MountGinini"
5.8,17.6,3.2,7.2,10.6,52,26,30,71,37,1008.2,1007.5,6,5,10.4,0,1,0.4,"Ballarat"
9.1,21.7,0,7.4,11.6,44,20,20,47,23,1009.1,1007.5,2,5,14,1,0,0,"Bendigo"
11.8,20.8,1.4,7.2,10.1,56,24,31,52,32,1009,1007.8,5,6,15.4,0,1,0,"Melbourne"
17,31.3,0,7.2,13.2,30,4,13,52,41,1013.9,1010.1,1,1,25.4,1,0,0,"Brisbane"
25.2,32.3,0.4,4,6.4,31,7,13,62,66,1011.3,1008.1,5,7,31.2,1,0,8.4,"Cairns"
17,30.4,0,7.2,9.6,31,17,22,52,61,1013.5,1010.7,3,4,26.2,1,0,0,"GoldCoast"
24.4,31.4,23.6,4.6,11.6,33,11,26,72,74,1011.9,1008.9,5,4,30.1,0,1,0.6,"Townsville"
12.6,21.3,0,6.8,9.6,33,20,17,46,44,1012.8,1012.1,3,4,17.1,1,0,0,"Adelaide"
6.6,18.7,4,5,10.6,61,20,30,73,39,1009.4,1008.9,3,3,13.4,0,1,0,"MountGambier"
13.3,18.5,0,3.8,8.9,44,4,17,82,63,1017.9,1015.2,7,5,15.2,1,0,0,"Albany"
12.8,27.2,0,9,13,33,9,19,53,41,1016.4,1012.6,2,1,19.2,1,0,0,"Perth"
9.7,18.3,0.8,4.2,11.6,61,26,15,54,40,998,998.8,2,2,12.7,1,0,2.6,"Hobart"
9.5,17.9,3.4,15.2,10.6,57,19,28,53,61,1000.6,1000.7,5,5,12.9,0,1,4,"Launceston"
19.6,37.6,0,11.2,9.8,87,20,11,17,16,1010.5,1005.8,0,3,30.4,1,0,1.2,"AliceSprings"
26.4,34.6,0,3.6,7.9,52,17,13,70,58,1010.5,1005.9,7,7,30.6,1,0,1.8,"Darwin"
